MD5,Tactic_ID,Mitre_ID,Tactic,Hash,DATE
00b0cfb59b088b247c97c8fed383c115,TA0005,T1497,Discovery,089e49de61701004a5eff6de65476ed9c7632b6020c2c0f38bb5761bca897359,2018-06-14
00b0cfb59b088b247c97c8fed383c115,TA0005,T1027,Defense Evasion,089e49de61701004a5eff6de65476ed9c7632b6020c2c0f38bb5761bca897359,2018-06-14
00b0cfb59b088b247c97c8fed383c115,TA0002,T1129,Execution,089e49de61701004a5eff6de65476ed9c7632b6020c2c0f38bb5761bca897359,2018-06-14
aa7924157b77dd1ff749d474f3062f90,TA0002,T1129,Execution,a71017302e1745c8a3d6e425187eb23c7531551bb6f547e47198563a78e933b6,2018-06-14
aa7924157b77dd1ff749d474f3062f90,TA0007,T1497.001,Discovery,a71017302e1745c8a3d6e425187eb23c7531551bb6f547e47198563a78e933b6,2018-06-14
aa7924157b77dd1ff749d474f3062f90,TA0007,T1082,Discovery,a71017302e1745c8a3d6e425187eb23c7531551bb6f547e47198563a78e933b6,2018-06-14
aa7924157b77dd1ff749d474f3062f90,TA0007,T1518,Discovery,a71017302e1745c8a3d6e425187eb23c7531551bb6f547e47198563a78e933b6,2018-06-14
aa7924157b77dd1ff749d474f3062f90,TA0007,T1057,Discovery,a71017302e1745c8a3d6e425187eb23c7531551bb6f547e47198563a78e933b6,2018-06-14
aa7924157b77dd1ff749d474f3062f90,TA0005,T1497.001,Discovery,a71017302e1745c8a3d6e425187eb23c7531551bb6f547e47198563a78e933b6,2018-06-14
9722bc9e0efb4214116066d1ff14094c,TA0007,T1018,Discovery,e088c3a0b0f466df5329d9a66ff618de3d468d8a5981715303babb1452631eef,2018-06-14
9722bc9e0efb4214116066d1ff14094c,TA0007,T1497,Discovery,e088c3a0b0f466df5329d9a66ff618de3d468d8a5981715303babb1452631eef,2018-06-14
9722bc9e0efb4214116066d1ff14094c,TA0007,T1518.001,Discovery,e088c3a0b0f466df5329d9a66ff618de3d468d8a5981715303babb1452631eef,2018-06-14
9722bc9e0efb4214116066d1ff14094c,TA0007,T1082,Discovery,e088c3a0b0f466df5329d9a66ff618de3d468d8a5981715303babb1452631eef,2018-06-14
9722bc9e0efb4214116066d1ff14094c,TA0011,T1095,Command and Control,e088c3a0b0f466df5329d9a66ff618de3d468d8a5981715303babb1452631eef,2018-06-14
9722bc9e0efb4214116066d1ff14094c,TA0011,T1071,Command and Control,e088c3a0b0f466df5329d9a66ff618de3d468d8a5981715303babb1452631eef,2018-06-14
9722bc9e0efb4214116066d1ff14094c,TA0005,T1218.011,Defense Evasion,e088c3a0b0f466df5329d9a66ff618de3d468d8a5981715303babb1452631eef,2018-06-14
9722bc9e0efb4214116066d1ff14094c,TA0005,T1497,Discovery,e088c3a0b0f466df5329d9a66ff618de3d468d8a5981715303babb1452631eef,2018-06-14
9722bc9e0efb4214116066d1ff14094c,TA0005,T1055,Defense Evasion,e088c3a0b0f466df5329d9a66ff618de3d468d8a5981715303babb1452631eef,2018-06-14
9722bc9e0efb4214116066d1ff14094c,TA0004,T1055,Defense Evasion,e088c3a0b0f466df5329d9a66ff618de3d468d8a5981715303babb1452631eef,2018-06-14
